Timestamp,Frequencia_MHz,RSSI_dBm
2025-11-23T16:15:44.278595,437.5,-87
2025-11-23T16:15:44.283635,437.6,-89
2025-11-23T16:15:44.288616,437.7,-90
2025-11-23T16:15:44.293607,437.8,-90
2025-11-23T16:15:44.298594,437.9,-92
2025-11-23T16:15:44.303706,438.0,-86
2025-11-23T16:15:44.308609,438.1,-87
2025-11-23T16:15:44.313615,438.2,-88
2025-11-23T16:15:44.318611,438.3,-89
2025-11-23T16:15:44.323634,438.4,-93
2025-11-23T16:15:44.328587,438.5,-87
2025-11-23T16:15:44.333598,438.6,-90
2025-11-23T16:15:44.338628,438.7,-87
2025-11-23T16:15:44.343596,438.8,-91
2025-11-23T16:15:44.348624,438.9,-89
2025-11-23T16:15:44.353604,439.0,-90
2025-11-23T16:15:44.358629,439.1,-90
2025-11-23T16:15:44.363617,439.2,-88
2025-11-23T16:15:44.368627,439.3,-90
